datetime,ABBV,ACRS,ADMP,ADMS,AEZS,AGEN,AGIO,AGN,DERM,DOVA,DRRX,ENTA,EXEL,NEOS,NVO,NVS,ONCE,OPK,VRTX,XENT,cash,commission,total,returns,equity_curve,drawdown
2017-12-01,68313.64229999999,0.0,38940.75,90112.44,0.0,46595.89,49608.87,40926.4245,0.0,0.0,0.0,64462.02,0.0,62343.75,60871.021799999995,0.0,0.0,0.0,0.0,0.0,550450.8155999999,292.953,1072625.6241999997,-0.003554348762708992,1.0726256242,-0.008375540300000761
2017-12-04,67533.4665,0.0,38460.0,86199.95999999999,0.0,45070.08,50492.86,40194.2898,0.0,0.0,0.0,64592.22,0.0,60624.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,611312.3413999998,302.44899999999996,1064480.2176999997,-0.007593895126340233,1.0644802177000001,-0.016520946800000713
2017-12-05,67668.2586,0.0,45671.25,86049.48000000001,0.0,44248.49,49738.63,39563.316000000006,0.0,0.0,0.0,62990.76,0.0,57812.5,0.0,0.0,0.0,0.0,0.0,0.0,611312.3413999998,302.44899999999996,1065055.0259999996,0.0005399896498234913,1.065055026,-0.015946138500000817
2017-12-06,66951.9432,0.0,45190.5,86601.24,0.0,43309.53,47857.11,40459.208399999996,0.0,0.0,0.0,62430.9,0.0,57812.5,0.0,0.0,0.0,0.0,0.0,0.0,611312.3413999998,302.44899999999996,1061925.2729999998,-0.002938583381700166,1.0619252730000002,-0.019075891500000663
2017-12-07,66838.4379,0.0,44709.75,89686.08,0.0,42487.94,49333.13,39705.4224,0.0,0.0,0.0,62235.6,0.0,58437.5,49445.7194,0.0,0.0,0.0,0.0,0.0,561330.9854999998,310.23299999999995,1064210.5652,0.0021520273206645513,1.0642105652000002,-0.016790599300000597
2017-12-08,68051.2752,0.0,44229.0,91667.4,0.0,42605.31,49446.67,40411.0458,0.0,0.0,0.0,63016.799999999996,0.0,61875.0,50031.1735,0.0,0.0,0.0,0.0,0.0,561330.9854999998,310.23299999999995,1072664.66,0.00794400570380649,1.0726646600000003,-0.008336504500000563
2017-12-11,68420.0763,0.0,42306.0,88958.76,0.0,42135.83,49811.62,41605.5609,0.0,0.0,0.0,62743.38,0.0,62187.49999999999,50309.5488,0.0,0.0,0.0,0.0,0.0,561330.9854999998,310.23299999999995,1069809.2614999998,-0.002661967534196674,1.0698092615,-0.011191903000000725
2017-12-12,68299.4997,0.0,40863.75,87980.64,0.0,39553.69,45480.88,41391.210600000006,0.0,0.0,0.0,62756.4,0.0,62187.49999999999,51173.2809,0.0,0.0,0.0,0.0,0.0,561330.9854999998,310.23299999999995,1061017.8366999999,-0.008217749758188897,1.0610178367000003,-0.01998332780000056
2017-12-13,69044.1732,0.0,42306.0,83641.8,0.0,41196.869999999995,44605.0,40757.8311,0.0,0.0,0.0,70281.95999999999,0.0,63749.99999999999,51240.4179,0.0,0.0,0.0,0.0,50992.5,511345.78349999984,322.78499999999997,1069162.3356999997,0.007676118834468504,1.0691623357000002,-0.011838828800000645
2017-12-14,68299.4997,0.0,42306.0,80456.64,0.0,41314.24,42472.07,41167.237499999996,0.0,0.0,0.0,70242.90000000001,0.0,61562.5,50731.8308,0.0,0.0,0.0,0.0,49972.65,511345.78349999984,322.78499999999997,1059871.3514999999,-0.008689965863712179,1.0598713515000004,-0.021129813000000386
2017-12-15,69115.10489999999,0.0,42306.0,81710.64,0.0,41783.72,42269.32,41345.453700000005,0.0,0.0,0.0,72690.66,0.0,62500.0,50395.8539,0.0,0.0,0.0,0.0,50364.9,511345.78349999984,322.78499999999997,1065827.4359999998,0.005619629676347548,1.0658274360000004,-0.015173728500000427
2017-12-18,69639.912,0.0,42786.75,79578.84,0.0,41431.61,42755.92,41160.0204,0.0,0.0,0.0,73862.45999999999,0.0,60624.99999999999,50789.4324,0.0,0.0,0.0,0.0,50208.0,511345.78349999984,322.78499999999997,1064183.7282999998,-0.0015421893305436196,1.0641837283000006,-0.016817436200000202
2017-12-19,69448.4037,49230.72,0.0,80005.2,0.0,41548.98,42861.35,40837.3164,0.0,0.0,0.0,73250.52,0.0,60312.5,50664.5965,0.0,0.0,0.0,0.0,50678.7,504062.39749999985,416.281,1062900.6840999997,-0.0012056604192302034,1.0629006841000004,-0.01810048040000045
2017-12-20,69086.7468,48878.48,0.0,80832.84,0.0,41431.61,42634.27,39907.7199,0.0,0.0,0.0,74552.52,0.0,59375.0,50549.4906,0.0,0.0,0.0,0.0,51620.1,504062.39749999985,416.281,1062931.1748,2.8686311389414243e-05,1.0629311748000005,-0.01806998970000029
2017-12-21,69441.3324,47262.32,0.0,85949.16,0.0,41079.5,43899.43,40370.100300000006,0.0,0.0,0.0,75581.09999999999,49613.04,0.0,51173.2809,0.0,52408.8,0.0,0.0,51384.75,463390.37349999987,488.905,1071553.1871,0.008111543347688821,1.0715531871000006,-0.009447977400000251
2017-12-22,69654.1275,47303.759999999995,0.0,86275.2,45369.100000000006,41548.98,47135.32,39712.6395,0.0,0.0,0.0,75698.28,52574.479999999996,0.0,51259.6833,0.0,55071.0,0.0,0.0,51541.65,413243.62949999986,637.049,1076387.8498,0.004511827091928433,1.0763878498000006,-0.0046133147000002594
2017-12-26,69327.9,48194.72,0.0,85572.95999999999,43226.5674,40375.28,48514.02,39601.8558,0.0,0.0,0.0,77078.40000000001,54251.44,0.0,51422.8554,0.0,55457.28,0.0,0.0,50757.15,413243.62949999986,637.049,1077024.0581,0.0005910586041251165,1.0770240581000006,-0.003977106400000263
2017-12-27,69568.9803,49500.08,0.0,85221.84,43702.479999999996,39788.43,49041.17,39873.9915,0.0,0.0,0.0,77091.42,54965.04,0.0,51413.2227,0.0,55039.68,0.0,0.0,51149.4,413243.62949999986,637.049,1079599.364,0.0023911312664113282,1.0795993640000008,-0.00140180050000005
2017-12-28,69356.2581,52090.08,0.0,88206.36,44630.2318,39436.32,49162.82,39645.207,0.0,0.0,0.0,77299.73999999999,55179.12,0.0,51566.7621,0.0,54392.4,0.0,0.0,51541.65,413243.62949999986,637.049,1085750.5784999998,0.005697682589594244,1.0857505785000006,-0.0
2017-12-29,68590.2249,51095.52,0.0,84996.12,43702.479999999996,38262.619999999995,46364.87,39394.7469,0.0,0.0,0.0,76401.36,54233.6,0.0,51509.1605,0.0,53682.48,0.0,0.0,50835.6,413243.62949999986,637.049,1072312.4117999997,-0.012376845074828724,1.0723124118000005,-0.013438166700000087
2018-01-02,69795.99089999999,51862.16,0.0,89410.2,43887.66,41548.98,48522.13,41017.9383,0.0,0.0,0.0,75476.94,56017.6,0.0,51979.5087,0.0,55655.64,0.0,0.0,54601.2,413243.62949999986,637.049,1093019.5773999996,0.019310758107556225,1.0930195774000004,-0.0
2018-01-03,70888.1787,49541.52,0.0,88457.16,42406.22,41548.98,50541.52,40974.5871,0.0,0.0,0.0,76388.34,56642.0,0.0,52478.5604,0.0,58213.439999999995,0.0,0.0,53895.15,413243.62949999986,637.049,1095219.2857,0.0020125058557805,1.0952192857000007,-0.0
